5dc,SKU,QTY,Location,Avg Mth Sales (Main),Note
30661,R3225-20-BK-DL,19,MA-C-11-L3-P2,0.9,
30661,R3225-20-BK-DL,25,MA-C-12-L4-P2,0.9,keep 15 ?
30092,R3226-20-BK-DL,17,MA-C-12-L5-P2,0.3,keep 10 ?
30058,R3226-40-BK-DL,20,MA-C-12-L6-P2,,Keep 5 ?
37040,R2206-WH-WW-V1,66,MA-C-14-L6-P1,,
30598,R9998-V1,4,MA-C-14-L6-P1,,
30763,R2151-SC-O-CW,61,MA-D-09-L4-P2,,
30850,R2152-SC-C-CW,24,MA-D-09-L4-P2,,
30831,R2152-SC-C-WW,114,MA-D-09-L4-P2,,
30306,R2152-WH-C-CW,4,MA-D-09-L4-P2,,
30410,R2152-WH-O-CW,4,MA-D-09-L4-P2,,
30263,R2152-WH-O-WW,35,MA-D-09-L4-P2,,
30709,R2590-BK-CW,1,MA-D-09-L4-P2,,
30287,R2590-BK-WW,2,MA-D-09-L4-P2,,
30025,R2590-RM-WH-CW,1,MA-D-09-L4-P2,,
69655,R2592-BK-WW,3,MA-D-09-L4-P2,,
30363,R2592-D-WH-CW,1,MA-D-09-L4-P2,,
30595,R2593-D-BK-WW,9,MA-D-09-L4-P2,,
30266,R2593-D-WH-CW,8,MA-D-09-L4-P2,,
31648,R-SLGP1-WH-V1,200,MA-D-12-L3-P1,,
31655,R-SLGP2-WH-V1,400,MA-D-12-L3-P1,,
31676,R-SLGP3-WH-V1,100,MA-D-12-L3-P1,,
31699,R-SLGP4-WH-V1,197,MA-D-12-L3-P1,,
31597,R-SLSW1-WH-V1,800,MA-D-12-L3-P1,1.1,
31619,R-SLSW2-WH-V1,800,MA-D-12-L3-P1,1.7,
31350,R-SLGPO2-WH-V1,2999,MA-D-13-L7-P1,1.5,
31330,R-SLGPO1-WH-V1,999,MA-D-14-L6-P1,1.2,
31644,R-SLSW3-WH-V1,499,MA-D-14-L6-P1,,
31369,R-SLGPO2-15-WH-V1,200,MA-D-15-L5-P1,,
31374,R-SLGPO2X-WH-V1,99,MA-D-15-L5-P1,0.6,
31597,R-SLSW1-WH-V1,999,MA-D-15-L5-P1,1.1,
31683,R-SLSW5-WH-V1,199,MA-D-15-L5-P1,,
31549,R-GP1-WH-V1,1200,MA-G-14-L4-P1,,
31563,R-GP2-WH-V1,1400,MA-G-14-L4-P1,1.7,
31587,R-GP4-WH-V1,400,MA-G-14-L4-P1,,
31377,R-GPO1-15-WH-V1,100,MA-G-14-L4-P1,,
31549,R-GP1-WH-V1,1379,MA-G-15-L4-P1,,
31563,R-GP2-WH-V1,1480,MA-G-15-L4-P1,1.7,
31569,R-GP3-WH-V1,1200,MA-G-15-L4-P1,,
31428,R-HDMI,1000,MA-G-15-L4-P2,1.2,Total At Main 1.093
31782,R-TVF-F-V1,1000,MA-G-15-L4-P2,,
31736,R-TVPAL-F,980,MA-G-15-L4-P2,127,"Total At Main 980, we've R-TVPAL-F-V2"
31503,R-UMB,5000,MA-G-15-L4-P2,270.4,"Total At Main 6,516"
31597,R-SLSW1-WH-V1,729,MA-G-15-L5-P1,1.1,
31619,R-SLSW2-WH-V1,357,MA-G-15-L5-P1,1.7,
31644,R-SLSW3-WH-V1,317,MA-G-15-L5-P1,,
31659,R-SLSW4-WH-V1,153,MA-G-15-L5-P1,,
31683,R-SLSW5-WH-V1,75,MA-G-15-L5-P1,,
31299,R-SLSW6-WH-V1,82,MA-G-15-L5-P1,,
31588,R-SLBP-WH-V1,199,MA-G-16-L4-P1,,
31648,R-SLGP1-WH-V1,1000,MA-G-16-L4-P1,,
31655,R-SLGP2-WH-V1,1020,MA-G-16-L4-P1,,
31676,R-SLGP3-WH-V1,500,MA-G-16-L4-P1,,
31699,R-SLGP4-WH-V1,500,MA-G-16-L4-P1,,
31722,R-SLGP5-WH-V1,200,MA-G-16-L4-P1,,
31750,R-SLGP6-WH-V1,200,MA-G-16-L4-P1,,
31369,R-SLGPO2-15-WH-V1,100,MA-G-16-L4-P1,,
31299,R-SLSW6-WH-V1,200,MA-G-16-L4-P1,,
31341,R-SLGPO1-15-WH-V1,300,MA-G-17-L4-P1,,
31350,R-SLGPO2-WH-V1,36,MA-G-17-L4-P1,1.5,
31597,R-SLSW1-WH-V1,14,MA-G-17-L4-P1,1.1,
31619,R-SLSW2-WH-V1,993,MA-G-17-L4-P1,1.7,
31644,R-SLSW3-WH-V1,18,MA-G-17-L4-P1,,
31659,R-SLSW4-WH-V1,202,MA-G-17-L4-P1,,
31683,R-SLSW5-WH-V1,1,MA-G-17-L4-P1,,
31299,R-SLSW6-WH-V1,3,MA-G-17-L4-P1,,
31588,R-SLBP-WH-V1,179,MA-G-17-L4-P2,,
31648,R-SLGP1-WH-V1,202,MA-G-17-L4-P2,,
31722,R-SLGP5-WH-V1,40,MA-G-17-L4-P2,,
31750,R-SLGP6-WH-V1,39,MA-G-17-L4-P2,,
31330,R-SLGPO1-WH-V1,124,MA-G-17-L4-P2,1.2,
31369,R-SLGPO2-15-WH-V1,38,MA-G-17-L4-P2,,
31350,R-SLGPO2-WH-V1,49,MA-G-17-L4-P2,1.5,
31374,R-SLGPO2X-WH-V1,104,MA-G-17-L4-P2,0.6,
31597,R-SLSW1-WH-V1,2,MA-G-17-L4-P2,1.1,
31486,R-SM16-V1,239,MA-G-17-L4-P2,,
31279,R-SW1-WH-V1,3,MA-G-17-L4-P2,0.9,
31296,R-SW3-WH-V1,5,MA-G-17-L4-P2,0.3,
31307,R-SW4-WH-V1,64,MA-G-17-L4-P2,,
31333,R-SW5-WH-V1,1,MA-G-17-L4-P2,,
31569,R-GP3-WH-V1,80,MA-G-17-L5-P1,,
31587,R-GP4-WH-V1,980,MA-G-17-L5-P1,,
31607,R-GP5-WH-V1,511,MA-G-17-L5-P1,,
31624,R-GP6-WH-V1,578,MA-G-17-L5-P1,,
